SKU;Cost;Currency;Product Name
PG-1003;78,80;EUR;Laptop Stand
PG-1006;19,10;EUR;Screen Protector
PG-1009;4,22;EUR;Cable Organiser
PG-1015;25,87;EUR;Car Mount
PG-1018;40,11;EUR;Docking Station
PG-1021;37,94;EUR;USB-C Cable Mk2
PG-1027;37,77;EUR;Power Bank Mk2
PG-1030;14,44;EUR;Travel Adapter Mk2
PG-1033;18,32;EUR;Headphone Hook Mk2
PG-1039;49,37;EUR;Stylus Pen Mk2
PG-1042;13,30;EUR;Bluetooth Speaker Mk3
PG-1045;10,37;EUR;Phone Case Mk3
PG-1051;59,14;EUR;Wrist Rest Mk3
PG-1054;55,58;EUR;Tablet Sleeve Mk3
PG-1057;23,99;EUR;Mouse Pad Mk3
