Order Number,Tracking Number,Carrier,Actual Shipping Cost,Currency
250,JD0000700000,DHL,5.19,EUR
252,JD0000700002,DHL,15.82,EUR
254,JD0000700004,DHL,16.93,EUR
255,JD0000700005,DHL,8.03,EUR
256,JD0000700006,DHL,10.50,EUR
258,JD0000700008,DHL,12.81,EUR
260,JD0000700010,DHL,9.27,EUR
262,JD0000700012,DHL,15.69,EUR
264,JD0000700014,DHL,17.28,EUR
265,JD0000700015,DHL,7.90,EUR
266,JD0000700016,DHL,10.79,EUR
268,JD0000700018,DHL,17.04,EUR
270,JD0000700020,DHL,9.74,EUR
272,JD0000700022,DHL,9.75,EUR
274,JD0000700024,DHL,13.30,EUR
275,JD0000000042,DHL,10.65,EUR
276,JD0000000042,DHL,14.01,EUR
278,JD0000700028,DHL,14.08,EUR
280,JD0000700030,DHL,5.10,EUR
282,JD0000700032,DHL,12.23,EUR
284,JD0000700034,DHL,11.76,EUR
285,JD0000700035,DHL,17.35,EUR
286,JD0000700036,DHL,12.19,EUR
288,JD0000700038,DHL,11.71,EUR
290,JD0000700040,DHL,12.48,EUR
292,JD0000700042,DHL,11.97,EUR
294,JD0000700044,DHL,15.74,EUR
295,JD0000700045,DHL,11.20,EUR
296,JD0000700046,DHL,14.76,EUR
298,JD0000700048,DHL,9.23,EUR
300,JD0000700050,DHL,10.65,EUR
302,JD0000700052,DHL,16.78,EUR
304,JD0000700054,DHL,10.79,EUR
305,JD0000700055,DHL,17.60,EUR
306,JD0000700056,DHL,9.90,EUR
308,JD0000700058,DHL,15.07,EUR
310,JD0000700060,DHL,16.07,EUR
312,JD0000700062,DHL,8.96,EUR
314,JD0000700064,DHL,5.15,EUR
315,JD0000700065,DHL,16.80,EUR
316,JD0000700066,DHL,17.82,EUR
318,JD0000700068,DHL,11.55,EUR
320,JD0000700070,DHL,9.05,EUR
322,JD0000700072,DHL,17.97,EUR
324,JD0000700074,DHL,9.82,EUR
325,JD0000700075,DHL,8.77,EUR
326,JD0000700076,DHL,7.44,EUR
328,JD0000700078,DHL,5.21,EUR
330,JD0000700080,DHL,11.54,EUR
332,JD0000700082,DHL,17.58,EUR
334,JD0000700084,DHL,10.49,EUR
335,JD0000700085,DHL,15.37,EUR
336,JD0000700086,DHL,15.76,EUR
338,JD0000700088,DHL,16.45,EUR
340,JD0000700090,DHL,10.31,EUR
342,JD0000700092,DHL,14.40,EUR
344,JD0000700094,DHL,10.96,EUR
345,JD0000700095,DHL,17.21,EUR
346,JD0000700096,DHL,11.05,EUR
348,JD0000700098,DHL,13.86,EUR
350,JD0000700100,DHL,15.79,EUR
352,JD0000700102,DHL,4.58,EUR
354,JD0000700104,DHL,16.89,EUR
355,JD0000700105,DHL,5.27,EUR
356,JD0000700106,DHL,12.65,EUR
358,JD0000700108,DHL,14.14,EUR
360,JD0000700110,DHL,14.19,EUR
362,JD0000700112,DHL,17.67,EUR
364,JD0000700114,DHL,4.59,EUR
365,JD0000700115,DHL,4.97,EUR
366,JD0000700116,DHL,7.78,EUR
368,JD0000700118,DHL,6.71,EUR
